player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
2,17,9,8,1-2-4-4,0.0001666269935729588,0.999833373006427,21005
2,17,9,8,1-2-4-5,0.00016998708098184539,0.9998300129190182,14707
2,17,9,8,1-2-4-6,0.00736235595390525,0.9926376440460948,3124
2,17,9,8,1-2-4-7,0.0033482142857142855,0.9966517857142857,448
2,17,9,8,1-2-4-8,0.011904761904761904,0.9880952380952381,42
2,17,9,8,1-2-4-9,0.5,0.5,2
2,17,9,8,1-2-5-5,0.0004474673348845534,0.9995525326651155,5587
2,17,9,8,1-2-5-6,0.0054094540612516645,0.9945905459387483,3004
2,17,9,8,1-2-5-7,0.0011574074074074073,0.9988425925925926,432
2,17,9,8,1-2-5-8,0.016129032258064516,0.9838709677419355,31
2,17,9,8,1-2-5-9,0.25,0.75,2
2,17,9,8,1-2-6-6,0.019455252918287938,0.980544747081712,1028
2,17,9,8,1-2-6-7,0.0012254901960784314,0.9987745098039216,408
2,17,9,8,1-2-6-8,0.075,0.925,20
2,17,9,8,1-2-7-7,0.0035971223021582736,0.9964028776978417,139
2,17,9,8,1-2-7-8,0.030303030303030304,0.9696969696969697,33
2,17,9,8,1-2-7-9,0.5,0.5,1
2,17,9,8,1-2-8-8,0.08333333333333333,0.9166666666666666,6
2,17,9,8,1-2-8-9,0.5,0.5,1
2,17,9,8,1-3-3-3,0.0011221545367104842,0.9988778454632895,15595
2,17,9,8,1-3-3-4,9.94708152628019e-05,0.9999005291847372,25133
2,17,9,8,1-3-3-5,0.0013194444444444445,0.9986805555555556,7200
2,17,9,8,1-3-3-6,0.004307488402915839,0.9956925115970842,1509
2,17,9,8,1-3-3-7,0.028037383177570093,0.9719626168224299,214
2,17,9,8,1-3-3-8,0.32142857142857145,0.6785714285714286,14
2,17,9,8,1-3-4-4,0.00012084884226809107,0.999879151157732,20687
2,17,9,8,1-3-4-5,0.00041220115416323167,0.9995877988458368,14556
2,17,9,8,1-3-4-6,0.0026917900403768506,0.9973082099596231,2972
2,17,9,8,1-3-4-7,0.020134228187919462,0.9798657718120806,447
2,17,9,8,1-3-4-8,0.2037037037037037,0.7962962962962963,27
2,17,9,8,1-3-5-5,0.00017966223499820338,0.9998203377650018,5566
2,17,9,8,1-3-5-6,0.00016627868307283005,0.9998337213169272,3007
2,17,9,8,1-3-5-7,0.0012048192771084338,0.9987951807228915,415
2,17,9,8,1-3-5-8,0.06060606060606061,0.9393939393939394,33
2,17,9,8,1-3-6-6,0.0028169014084507044,0.9971830985915493,1065
2,17,9,8,1-3-6-7,0.007772020725388601,0.9922279792746114,386
2,17,9,8,1-3-6-8,0.11666666666666667,0.8833333333333333,30
2,17,9,8,1-3-7-7,0.06198347107438017,0.9380165289256198,121
2,17,9,8,1-3-7-8,0.5,0.5,26
2,17,9,8,1-3-8-8,0.5,0.5,13
2,17,9,8,1-4-4-4,0.0024683231857824586,0.9975316768142175,6077
2,17,9,8,1-4-4-5,0.0013004791238877482,0.9986995208761122,7305
2,17,9,8,1-4-4-6,0.003780718336483932,0.996219281663516,1587
2,17,9,8,1-4-4-7,0.04245283018867924,0.9575471698113207,212
2,17,9,8,1-4-4-8,0.09375,0.90625,16
2,17,9,8,1-4-4-9,0.5,0.5,1
2,17,9,8,1-4-5-5,0.00423728813559322,0.9957627118644068,5546
2,17,9,8,1-4-5-6,0.001176470588235294,0.9988235294117647,2975
2,17,9,8,1-4-5-7,0.00563063063063063,0.9943693693693694,444
2,17,9,8,1-4-5-8,0.20689655172413793,0.7931034482758621,29
2,17,9,8,1-4-6-6,0.0066857688634192934,0.9933142311365807,1047
2,17,9,8,1-4-6-7,0.02810304449648712,0.9718969555035128,427
2,17,9,8,1-4-6-8,0.34375,0.65625,32
2,17,9,8,1-4-6-9,0.5,0.5,1
2,17,9,8,1-4-7-7,0.003676470588235294,0.9963235294117647,136
